iso2c	Country	Year	AG.YLD.CREL.KG	EG.IMP.CONS.ZS	EG.USE.COMM.FO.ZS	FI.RES.TOTL.CD	MS.MIL.MPRT.KD	NY.GDP.PCAP.CD	SH.DYN.MORT	TX.VAL.MRCH.CD.WT	GDPPCKD	AG.PRD.CREL.MT	SP.POP.DPND	SP.POP.TOTL	EN.URB.LCTY.UR.ZS	SP.URB.TOTL.IN.ZS	SP.DYN.TFRT.IN	AG.LND.AGRI.ZS	EN.ATM.CO2E.PC	EG.USE.ELEC.KH.PC
CA	Canada	1995	2699.886	-51.1681513793277	73.4880882585594	16369370359.7301	3.96e+08	20117.0996076457	6.9	1.92197e+11	28603.7678271002	49344200	47.7789246589282	29354000	18.4080024316777	77.675	1.639	7.47720077285889	15.6636390951829	16503.270423111
CA	Canada	1996	2844.2	-51.7788538751207	73.9744186181063	21562306887.7352	4.13e+08	20684.9457847644	6.7	2.01633e+11	28774.0105367054	58494100	47.6816562514401	29671900	18.4596048168535	78.0356	1.592	7.48390885367696	15.7685733303226	16572.6832457645
CA	Canada	1997	2584.192	-52.8326056279902	75.383200533618	18718497046.5253	3.42e+08	21260.2868099547	6.5	2.14422e+11	29688.7082705836	49557300	47.4803489111183	29987200	18.5251238500608	78.3962	1.55	7.47170234595882	16.1146620224629	16608.5529826059
CA	Canada	1998	2782.628	-54.1281347759993	76.7144969421278	24023259570.9533	1.12e+08	20390.3884480615	6.4	2.14327e+11	30671.0909406373	50992500	47.1922651181115	30247900	18.6273704808224	78.7568	1.53	7.45960580677868	17.0993473596514	16385.4019617891
CA	Canada	1999	3087.708	-49.1632243582528	76.3055717102436	28650282079.8684	1.93e+08	21681.3793050069	6.3	2.38446e+11	31990.6260297537	54077500	46.843269590566	30499200	18.7377388518104	79.1174	1.51	7.44739929906054	16.8993017849649	16625.386895394
CA	Canada	2000	2805.7	-48.223053800234	76.7533635461413	32427273432.4608	5.7e+08	23559.5036897592	6.2	2.76635e+11	33333.7411313136	51090400	46.4567740111637	30769700	18.8391544351981	79.478	1.49	7.4353027598804	17.3704516131129	16990.5783936795
CA	Canada	2001	2446.833	-52.0820855732635	76.7918502943204	34252696054.1769	5.47e+08	23017.3687489828	6.2	2.59858e+11	33574.7284546574	43391400	46.0461901490803	31081900	18.9687829340282	79.6068	1.505	7.42309625216226	16.913062554091	16807.1449943536
CA	Canada	2002	2375.445	-54.73001472148	75.8434897697526	37189380242.4866	4.39e+08	23425.2264265171	6.2	2.52394e+11	34213.3521127756	36046900	45.6225586206031	31362000	19.1016888905966	79.7356	1.52	7.42474578023227	16.5538823735731	16959.6007907659
CA	Canada	2003	2759.567	-47.3766379451543	77.1204872773933	36267580380.1304	1.59e+08	27335.308828525	6.1	2.72739e+11	34549.5324777175	49189000	45.2053898772326	31676000	19.2165204173113	79.8644	1.53	7.4267252139163	17.4638617565349	17191.1541861346
CA	Canada	2004	3141.885	-48.6661993205398	75.9018459838202	34476392654.5784	3.58e+08	31011.9112211881	6.1	3.16762e+11	35290.0054837635	50778200	44.81558943091	31995000	19.3314407970966	79.9932	1.53	7.42848471052432	17.2636102203469	17235.4117830911
CA	Canada	2005	3215.943	-47.339882971879	75.9475364224577	33018048281.2194	1.31e+08	35087.8925933298	6.1	360475248000	36030.4689131107	50962400	44.4737084889661	32312000	19.4492950120341	80.122	1.54	7.43046414420834	17.426080620203	17319.2312453578
CA	Canada	2006	3046.344	-53.0159146687255	75.3726149765269	35063089703.1612	1.13e+08	39249.9982239973	6	388177873000	36686.0137569341	48577300	44.180669535056	32576074	19.6124362764807	80.2084	1.5862	7.25286495533628	16.8907201647442	16761.0437034248
